,product_index,username,rate_date,user_rate,buyer_comment
0,S1116001_S_7521,cho candy, 2019-09-26 ,5,好用
1,S1116001_S_7521,Shen Jing, 2019-08-22 ,5,設計簡潔俐落，易攜帶
2,S1116001_S_7521,CHAN CHAN, 2019-07-04 ,5,Very well-designed.  Excellent.  Will buy two more while the sale is still on
3,S1116001_S_7521,mandy lam, 2019-03-10 ,5,輕便易用
4,S1116001_S_7521,may chang, 2019-02-28 ,4,GOOD
5,S1116001_S_7521,bonida chan, 2019-02-18 ,5,Good
6,S1116001_S_7521,KH Liza KWOK, 2019-01-16 ,5,輕巧，帶着出街用好方便，質量好，推介！最難得是商户全程跟進
7,H6603001_S_Aspire_SF114_32_P69T_NX_GZPCF_003,Fung Yan Man, 2019-09-02 ,5,good
8,H6603001_S_Aspire_SF114_32_P69T_NX_GZPCF_003,Chi him Ting, 2019-07-10 ,5,很好的產品
9,H0762001_S_Acer-SF314-56-52YM-007160309,Kiki Hoshino, 2019-10-06 ,5,"有VIP discount, 好抵。"
10,H0762001_S_Acer-SF314-56-52YM-007160309,MATT WONG, 2019-09-09 ,5,有95折同MALL DOLLAR回贈，包埋送貨，抵！
11,H0762001_S_NP530XBB-K02HK-800160053,ada leung, 2019-09-23 ,5,包裝很好
12,H5023001_S_80NV006XHH,Wai Man Au, 2019-07-25 ,5,同新冇分別
13,H5023001_S_80NV006XHH,先生 曾, 2019-06-26 ,5,新嘅一樣
14,H5023001_S_20FB0031HH,Joseph Lau, 2018-04-28 ,5,貨品好靚仔，唔講跟本唔會知係陳列品，開心使用中。
15,H0800001_S_E558K503B,Miu Ha Chan, 2019-08-29 ,3,"Outer label on packing stating RAM 4GB made me worried, After I opened the notebook and checked system settings, confirmed it has RAM 8GB , relieved my worries. It  installed Win10 trial edition, need to buy MS for installment."
16,H5807001_S_4895076203440,isaac chau, 2019-09-01 ,4,touch screen 定位及靈敏度有些不足
17,H0762001_S_XE500C13-K03US-800160302,mickey ngan, 2019-08-13 ,5,good!
18,H0762001_S_XE500C13-K03US-800160302,wing wong, 2019-08-07 ,5,快靚正，會再買
19,H0762001_S_XE500C13-K03US-800160302,John Lee, 2019-05-27 ,5,"Delovered 2 days after ordering. Very efficient. Works great so far. still have to get used to google doc instead of MS word... though you can install almost any app from google play store, some of them just don't run properly. anyway, it's still a nice package given its price, speed and weight, esp if you need to get some documents done when travelling."
20,H0762001_S_XE500C13-K03US-800160302,T.Y. Ko, 2019-03-31 ,5,"主要是帶往旅行時使用,機身輕便,容易携帶,速度OK!"
21,H0762001_S_XE500C13-K03US-800160302,Alice Poon, 2019-03-14 ,4,"挺好的. 不會很重,  習慣後覺得操作比普通電腦更方便, 適合日常文書工作和學習用"
22,H0762001_S_XE500C13-K03US-800160302,Wenkie Koo, 2019-02-01 ,5,這是我買第二部 Chromebook，第一部是華碩 C302。這部機不可直接跟 C302 比較，這部算基本入門機，沒 touch screen，沒 USB C 叉電 (即不可接尿袋在街用長用)，但速度可接受，試過一陣上網做野，電郵文書處理看網頁 video ebanking 等等沒都問題，而且價錢平，CP 價高。值得一提係商戶原本寫 1-4 工作日出貨，實際我下單後 48 內已取貨，讚！
23,H0762001_S_XE500C13-K03US-800160302,Jackson Chan, 2018-12-10 ,5,如果用開Google各種服務及Chrome Web Browser又係Android Phone用家你會覺得好方便同好易用可以裝Android上面絕大部份既apps無執行上既問題apps運行速度滿意播HD片好暢順開機快，十幾秒就load到入desktop開機唔駛按開關掣，攤開部機就自動開機內置cam影像清晰色彩滿意USB 3.0插位有替週邊設備充電功能，幾好用HDMI方便輸出到投影機做演講用途無Google account會好麻煩個speaker比較細聲，開到盡都係比較細聲，用3.5mm耳機插位好過藍牙只能夠駁到mouse，藍牙耳機接駁不能無LAN插位，上網快慢好睇wifi訊號強弱，不過可以用USB to LAN Dongle 解決Monitor光度在50%仍相當耀眼，要較到30%-40%先可以接受Trackpad反應太敏感，改用mouse體驗好好多不建議同時開多個windows，會變慢內置micro sd slot及USB，只有內置apps可以存取，Android apps不能打文件睇片聽歌上網收發電郵絕對夠用細部輕身方便帶出街學生或者一般user可滿足使用需求水貨賣緊$15xx-$1700不過得2GB RAM同16GB eMMC本人覺得行貨賣$1988有4GB RAM同32GB eMMC性價比較高電量夠用8-10粒鐘如果要黎玩Android 3D game好勉強
