,product_name,product_index,product_type,median_rates,mean_rates
0,超薄 notebook - F7 (6+128GB),H0972006_S_F7,tablet,3.5,3.1
1,5.5吋 4G-LTE 智能電話 (4+64GB) X598 (黑色),H0972006_S_196,smartphone,1.5,2.7
2,空氣淨化器2s（平行進口）,H5912001_S_Xa0032,smartphone,4.0,4.2
3,4G-LTE 智能手機 - GALAXY S4 (黑色),H0972006_S_325,smartphone,2.5,2.9
4,AirPods 2 配備充電盒(香港行貨),H5912001_S_AP0010,smartphone,5.0,3.67
5,"(11.6"", N3060,4GB RAM,32GB eMMC) XE500C13-K01HK Chrome OS 筆記簿型電腦",H0762001_S_XE500C13-K03US-800160302,laptop,5.0,4.86
6,"iPhone SE - 64GB, 二手9成新 (100%正常運作)(平行進口)",H6725001_S_iSE_G_64_3A_U,smartphone,5.0,4.57
7,家庭 辦公室 旅行 可折疊 便攜式 筆記本 手提電腦 平板電腦 底座 支架,S1116001_S_7521,laptop,5.0,4.86
8,空氣淨化器Pro（平行進口）,H5912001_S_Xa0033,smartphone,3.0,2.86
9,AirPods (2nd generation) 配備無線充電盒- MRXJ2ZP/A,H5688002_S_DG007302973,smartphone,5.0,4.83
10,"【一套兩個】手機防滑安全手持帶 防跌安全手帶 固定器適用於 5.2 - 7.5吋智能手機 iPhone, Samsung, Huawei, Nexus, Asus, HTC, Sony, LG, Xiaomi, Nokia etc",S1116001_S_7845,smartphone,4.0,3.5
11,8 粒 iPhone 充電線保護套 (顏色隨機),H0966002_S_10203884A,smartphone,2.5,2.67
12,8110 4G雙卡雙待手機（黑色）（平行進口）,H5912001_S_Na0007_bk,smartphone,5.0,3.4
13,ELUGA C 全螢幕三邊超窄邊框5.5吋智能手機 (一年保養)(水波藍),H0972006_S_ELUGA_C_BLUE,smartphone,3.0,3.0
14,A800 長者平安折合式手機/特大鈴聲字體/原裝行貨一年保養/黑色,H5683001_S_P1399,smartphone,5.0,3.4
15,iPhone 6S 上門更換電池服務(包電池),H6482001_S_128,smartphone,5.0,5.0
16,平板4 8英寸平板電腦LTE版 4G+64GB（黑色）（平行進口）,H5912001_S_T0044_bk,tablet,3.5,3.25
17,Apple MacBook Pro 13.3水晶透明保護外殼 適用於13.3寸MacBook Pro A1989/A1706/A1708,S1116001_S_7869,laptop,5.0,4.75
18,智能手機 - A1000 (黑色),H0972006_S_Lenovo_A1000,smartphone,4.0,3.5
19,iPhone 6S 更換顯示屏 - 上門服務（能正常顯示）,H6482001_S_110,smartphone,5.0,4.67
