,product_name,product_index,product_type,median_rates,mean_rates
0,APPLE IPHONE XS 64GB 手機 金色,10584849206,Mobile Phone,5.0,5.0
1,HUAWEI MATE 20 X 手機 藍色,10674060101,Mobile Phone,5.0,5.0
2,APPLE IPHONE XR 128GB 手機 黑色,10584849457,Mobile Phone,5.0,5.0
3,APPLE IPHONE XS MAX 256GB 手機 金色,10584849382,Mobile Phone,5.0,5.0
4,Apple iPad Pro 11 256GB Wi-Fi Space Gray MTXQ2ZP/A 平板電腦,10555802003,Tablet,5.0,5.0
5,APPLE IPHONE XR 128GB 手機 白色,10584849492,Mobile Phone,5.0,5.0
6,APPLE IPHONE XR 64GB 手機 黑色,10584849437,Mobile Phone,5.0,5.0
7,APPLE IPHONE XS MAX 256GB 手機 太空灰,10584849318,Mobile Phone,5.0,5.0
8,APPLE IPHONE XS MAX 256GB 手機 銀色,10584849373,Mobile Phone,5.0,5.0
9,APPLE IPHONE XS MAX 64GB 手機 金色,10584849315,Mobile Phone,5.0,5.0
10,APPLE IPHONE XS 256GB 手機 金色,10584849215,Mobile Phone,5.0,4.99
11,HUAWEI MATE 20 PRO 手機 極光色,10674060100,Mobile Phone,5.0,5.0
12,Apple iPad (2018) Wi-Fi 128GB MRJP2ZP/A 金色,10395357178,Tablet,5.0,4.99
13,APPLE IPHONE XS MAX 512GB 手機 金色,10584849436,Mobile Phone,5.0,4.99
14,HUAWEI P30 8+128GB智能手機 天空之境,11020212651,Mobile Phone,5.0,5.0
15,APPLE IPHONE XR 128GB 手機 紅色,10584849493,Mobile Phone,5.0,5.0
16,HUAWEI P30 PRO 8+256GB 智能手機 黑色,11020212646,Mobile Phone,5.0,5.0
17,SAMSUNG GALAXY S10 智能手機 8+128GB 幻鑽黑,10903483880,Mobile Phone,5.0,5.0
18,HUAWEI P30 PRO 8+512GB 智能手機 極光色,11020212649,Mobile Phone,5.0,5.0
19,SAMSUNG GALAXY S10+ 智能手機 8+128GB 幻鑽黑,10903483742,Mobile Phone,5.0,5.0
