,product_name,product_index,product_type,median_rates,mean_rates,no_of_rates
0,5.5吋 4G-LTE 智能電話 (4+64GB) X598 (黑色),H0972006_S_196,smartphone,1.5,2.7,10.0
2,超薄 notebook - F7 (6+128GB),H0972006_S_F7,tablet,3.5,3.1,17.0
3,4G-LTE 智能手機 - GALAXY S4 (黑色),H0972006_S_325,smartphone,2.5,2.9,17.0
5,"iPhone SE - 64GB, 二手9成新 (100%正常運作)(平行進口)",H6725001_S_iSE_G_64_3A_U,smartphone,5.0,4.57,7.0
6,"(11.6"", N3060,4GB RAM,32GB eMMC) XE500C13-K01HK Chrome OS 筆記簿型電腦",H0762001_S_XE500C13-K03US-800160302,laptop,5.0,4.86,7.0
13,ELUGA C 全螢幕三邊超窄邊框5.5吋智能手機 (一年保養)(水波藍),H0972006_S_ELUGA_C_BLUE,smartphone,3.0,3.0,5.0
14,8110 4G雙卡雙待手機（黑色）（平行進口）,H5912001_S_Na0007_bk,smartphone,5.0,3.4,5.0
15,A800 長者平安折合式手機/特大鈴聲字體/原裝行貨一年保養/黑色,H5683001_S_P1399,smartphone,5.0,3.4,5.0
16,智能手機 - A1000 (黑色),H0972006_S_Lenovo_A1000,smartphone,4.0,3.5,4.0
18,平板4 8英寸平板電腦LTE版 4G+64GB（黑色）（平行進口）,H5912001_S_T0044_bk,tablet,3.5,3.25,4.0
19,3G 智能手機 - A396 (粉紅色),H0972006_S_320,smartphone,1.0,2.0,3.0
22,MOTO E4 PLUS（金色）(香港行貨),H5912001_S_MO0006_gd,smartphone,4.0,3.33,3.0
24,"iPhone 7 - 128GB, 二手9成新 (100%正常運作)(平行進口)",H6725001_S_i7_R_128_3A_U,smartphone,5.0,4.33,3.0
25,P30 Lite 6GB+128GB 藍色 香港行貨,H6588001_S_Huawei_P30Lite_Blue,smartphone,5.0,5.0,3.0
28,"SF114 14"" FHD N5000 4G 128G SHARE Win10 S mode (粉紅色)",H6603001_S_Aspire_SF114_32_P69T_NX_GZPCF_003,laptop,5.0,5.0,2.0
29,Y9 2019 4GB+64GB 紫色 香港行貨,H6588001_S_Huawei_Y9_2019_Purple,smartphone,5.0,5.0,2.0
30,A812 長者平安折合式手機/特大鈴聲字體/原裝行貨/黑色,H5683001_S_P1518,smartphone,2.0,2.0,2.0
32,Galaxy S10+ 8GB+128GB 幻鑽白色 香港行貨,H6588001_S_Samsung_S10P_128_White,smartphone,5.0,5.0,2.0
33,GALAXY NOTE 8 DUAL 64GB N950FD（藍色）（平行進口）,H5912001_S_SAM0030_be,smartphone,4.0,4.0,2.0
35,"Swift 3 筆記型電腦 (14"", i5-8265U, 8GB RAM, 128GB SSD, 1TB HDD, Win 10) SF314-56-52YM",H0762001_S_Acer-SF314-56-52YM-007160309,laptop,5.0,5.0,2.0
36,"STREAM 11-ah113TU 11.6"" 4NT27PA#AB5 Infinity Purple",H0661001_S_NBOHPA-HPSTREAM11-ah113TU,laptop,3.0,3.0,2.0
38,"Tab A 8"" 2019 2GB+32GB Wi-Fi 平板電腦 T290 銀色 香港行貨",H6588001_S_Samsung_TabA_8_2019_WiFi,tablet,5.0,5.0,2.0
39,P30 Lite 6GB+128GB 白色 香港行貨,H6588001_S_Huawei_P30Lite_White,smartphone,5.0,5.0,2.0
42,Z8，八核芯，全高清，4G雙卡雙待，一年保養！,H0778001_S_Z8,smartphone,2.5,2.5,2.0
44,M5 Pro Wi-Fi 4GB+64GB 平板電腦 金色 香港行貨,H6588001_S_Huawei_M5Pro_Gold,tablet,5.0,5.0,2.0
45,ZenFone Max Pro (M1) (ZB602KL) - 6GB RAM / 超長效 5000mAh 電池 / 支援 NFC (酷炫銀),H0972006_S_zenfone_6,smartphone,4.5,4.5,2.0
46,"iPhone 7 - 128GB, 二手9成9新 (100%正常運作)(平行進口)",H6725001_S_i7_R_128_1_U,smartphone,4.0,4.0,2.0
47,A3 4G LTE 5046I智能電話 (白)- Alcatel,H0775001_S_AL04,smartphone,1.0,1.0,2.0
48,Caterpillar CAT B30 香港行貨一年保養,H5982001_S_catb30,smartphone,3.0,3.0,2.0
50,"SF114 14"" FHD N5000 4G 128G SHARE Win10 S mode (銀色)",H6603001_S_Aspire_SF114_32_P1MD_NX_GXVCF_004,laptop,5.0,5.0,2.0
53,"iPhone 6 - 16GB, 二手9成新 (100%正常運作)(平行進口)",H6725001_S_i6_W_16_3A_U,smartphone,5.0,5.0,1.0
54,iQOO 8GB+128GB 藍色 平行進口 中國版,H6588001_S_Vivo_iQOO_8_128_Blue,smartphone,5.0,5.0,1.0
55,OnePlus 6 8GB+128GB 白色 平行進口 中國版,H6588001_S_OP6_8_128_White,smartphone,5.0,5.0,1.0
56,BlackBerry Key 2 LE 64GB Black 香港行貨一年保養,H5982001_S_blackberrykey2le64gbblk,smartphone,5.0,5.0,1.0
57,HONOR 10 AI 雙鏡頭拍攝手機 (128GB) (原裝行貨) (幻夜黑),H0972006_S_Honor_10_Black,smartphone,5.0,5.0,1.0
60,iPhone XS 512GB-金（香港行貨）,H5912001_S_AP0023-gd,smartphone,5.0,5.0,1.0
62,OnePlus 7 8GB+256GB 珐琅红色 平行進口 中國版,H6588001_S_Oneplus_7_8_256_Red,smartphone,5.0,5.0,1.0
64,Pavilion 14-ce1031TX 5MX39PA#AB5- Tranquil Pink,H0661001_S_NBOHPA-14-ce1031TX,laptop,4.0,4.0,1.0
65,Nova 4 8GB+128GB 藍色 香港行貨,H6588001_S_Nova_4_Blue,smartphone,5.0,5.0,1.0
67,OnePlus 6t 8GB+128GB  亮瓷黑色 平行進口 中國版,H6588001_S_OP6t_8_128MirBlk,smartphone,5.0,5.0,1.0
70,IP S530-13IWL (81J7001LHH)手提筆記型電腦,S1076001_S_193268289345,laptop,5.0,5.0,1.0
71,8110 4G LTE 雙卡雙核2MP 手提智能電話 - 黑色（平行進貨）,H5393001_S_1001277,smartphone,1.0,1.0,1.0
72,EKTRA（香港行貨）,H5912001_S_EK0001,smartphone,5.0,5.0,1.0
73,(13.3 Pentium N4200 4GB RAM 128GB SSD Win10) AVITA Liber 13.3 筆記型電腦,H0762001_S_NS13A1HK087P-140160099,laptop,4.0,4.0,1.0
76,Galaxy A70 6GB+128GB 黑色 香港行貨,H6588001_S_Samsung_A70_6_Black,smartphone,5.0,5.0,1.0
77,OnePlus 7 8GB+256GB 曜岩灰色 平行進口 中國版,H6588001_S_Oneplus_7_8_256_Black,smartphone,5.0,5.0,1.0
79,X1，Qualcomm四核，Sony鏡頭，一年保養！,H0778001_S_X1_BK,smartphone,4.0,4.0,1.0
80,Y7 Pro 2019 3GB+32GB 幻夜黑色 香港行貨,H6588001_S_Huawei_Y7_Pro_2019_Black,smartphone,5.0,5.0,1.0
82,"E558K503B 日本制造15.6""全高清 手提電腦 i5-8250U 8GB 256GB SSD WIN10 Home",H0800001_S_E558K503B,laptop,3.0,3.0,1.0
83,T8 128GB（藍色）（香港行貨）,H5912001_S_ME0001_be,smartphone,1.0,1.0,1.0
84,ZenFone 4 Selfie (ZD553KL)(黑)  [平行進口],H0775001_S_ZF4SELBLK,smartphone,1.0,1.0,1.0
85,U12+ 6GB+128GB 黑色 香港行貨,H6588001_S_HTC_U12P_Black,smartphone,5.0,5.0,1.0
86,938SP 10寸通話平板電腦,H5683002_S_P2224,tablet,5.0,5.0,1.0
87,紅米 Note 7 4GB+64GB 亮黑色（平行進口）,H5300001_S_AXMM1901F7E4-64GBBK,smartphone,5.0,5.0,1.0
88,Galaxy S10+ 8GB+512GB 陶瓷白色 香港行貨,H6588001_S_Samsung_S10P_512_White,smartphone,5.0,5.0,1.0
89,香港行貨(珊瑚橙色)GALAXY A20 A205 3GB RAM 32GB ROM,H7007001_S_SAMA205H01OG01,smartphone,4.0,4.0,1.0
91,紅米 6 金色 4G 64G Rom (香港行貨，小米1年保養),H0610012_S_241-75-A00061-1,smartphone,5.0,5.0,1.0
92,Galaxy A70 8GB+128GB 黑色 香港行貨,H6588001_S_Samsung_A70_8_Black,smartphone,5.0,5.0,1.0
93,Caterpillar CAT S41 香港行貨一年保養,H5982001_S_cats41,smartphone,5.0,5.0,1.0
94,NEX 雙屏版 10+128GB-藍（香港行貨）,H5912001_S_VI0011,smartphone,5.0,5.0,1.0
