,product_name,product_index,product_type,median_rates,mean_rates
0,APPLE IPHONE XS 64GB 手機 金色,10584849206.0,Mobile Phone,5.0,5.0
1,HUAWEI MATE 20 X 手機 藍色,10674060101.0,Mobile Phone,5.0,5.0
2,APPLE IPHONE XR 128GB 手機 黑色,10584849457.0,Mobile Phone,5.0,5.0
3,APPLE IPHONE XS MAX 256GB 手機 金色,10584849382.0,Mobile Phone,5.0,5.0
4,Apple iPad Pro 11 256GB Wi-Fi Space Gray MTXQ2ZP/A 平板電腦,10555802003.0,Tablet,5.0,5.0
5,APPLE IPHONE XR 128GB 手機 白色,10584849492.0,Mobile Phone,5.0,5.0
6,APPLE IPHONE XR 64GB 手機 黑色,10584849437.0,Mobile Phone,5.0,5.0
7,APPLE IPHONE XS MAX 256GB 手機 太空灰,10584849318.0,Mobile Phone,5.0,5.0
8,APPLE IPHONE XS MAX 256GB 手機 銀色,10584849373.0,Mobile Phone,5.0,5.0
9,APPLE IPHONE XS MAX 64GB 手機 金色,10584849315.0,Mobile Phone,5.0,5.0
10,APPLE IPHONE XS 256GB 手機 金色,10584849215.0,Mobile Phone,5.0,4.99
11,HUAWEI MATE 20 PRO 手機 極光色,10674060100.0,Mobile Phone,5.0,5.0
12,Apple iPad (2018) Wi-Fi 128GB MRJP2ZP/A 金色,10395357178.0,Tablet,5.0,4.99
13,APPLE IPHONE XS MAX 512GB 手機 金色,10584849436.0,Mobile Phone,5.0,4.99
14,HUAWEI P30 8+128GB智能手機 天空之境,11020212651.0,Mobile Phone,5.0,5.0
15,APPLE IPHONE XR 128GB 手機 紅色,10584849493.0,Mobile Phone,5.0,5.0
16,HUAWEI P30 PRO 8+256GB 智能手機 黑色,11020212646.0,Mobile Phone,5.0,5.0
17,SAMSUNG GALAXY S10 智能手機 8+128GB 幻鑽黑,10903483880.0,Mobile Phone,5.0,5.0
18,HUAWEI P30 PRO 8+512GB 智能手機 極光色,11020212649.0,Mobile Phone,5.0,5.0
19,SAMSUNG GALAXY S10+ 智能手機 8+128GB 幻鑽黑,10903483742.0,Mobile Phone,5.0,5.0
20,HUAWEI P30 8+128GB 智能手機 極光色,11020212652.0,Mobile Phone,5.0,5.0
21,APPLE IPHONE XR 128GB 手機 藍色,10584849529.0,Mobile Phone,5.0,5.0
22,HUAWEI P30 PRO 8+256GB 智能手機 天空之境,11020212648.0,Mobile Phone,5.0,5.0
23,SAMSUNG GALAXY S10 智能手機 8+128GB 幻鑽白,10903483866.0,Mobile Phone,5.0,5.0
24,SAMSUNG GALAXY S10+ 智能手機8+128GB 幻鑽白,10903483741.0,Mobile Phone,5.0,5.0
25,HUAWEI NOVA 4 智能手機 藍色,10860882500.0,Mobile Phone,5.0,5.0
26,HUAWEI MATE9 GRAPHITE BLACK MATE9 PRO,601497811.0,Mobile Phone,5.0,5.0
27,SAMSUNG GALAXY S10+ 智能手機 8+128GB 幻鑽綠,10903483746.0,Mobile Phone,5.0,5.0
28,HUAWEI MATE 20 PRO 手機 綠色,10674060098.0,Mobile Phone,5.0,5.0
29,APPLE IPHONE XS MAX 512GB 手機 太空灰,10584849430.0,Mobile Phone,5.0,5.0
30,Apple MacBook Pro 13 2.3GHz i5 256GB 手提電腦,624902167.0,Laptop,5.0,5.0
31,Apple iPad (2018) Wi-Fi 128GB MR7K2ZP/A 銀色,10395189998.0,Tablet,5.0,5.0
32,APPLE IPHONE XR 256GB 手機 黑色,10584849534.0,Mobile Phone,5.0,5.0
33,Apple MacBook Pro 13 2.3GHz i5 128GB 手提電腦,624902159.0,Laptop,5.0,5.0
34,DELL Inspiron 15-5570 15L-R1740-S-W10 i7 256GB 手提電腦,765126282.0,Laptop,5.0,5.0
35,APPLE IPHONE XR 64GB 手機 白色,10584849438.0,Mobile Phone,5.0,5.0
36,APPLE IPHONE XR 64GB 手機 紅色,10584849441.0,Mobile Phone,5.0,5.0
37,APPLE IPHONE XS 64GB 手機 太空灰,10584849156.0,Mobile Phone,5.0,5.0
38,Apple MacBook Pro 13 2.3GHz i5 256GB 手提電腦,624902162.0,Laptop,5.0,5.0
39,APPLE IPHONE XS MAX 64GB 手機 太空灰,10584849307.0,Mobile Phone,5.0,5.0
40,SAMSUNG GALAXY S10 智能手機 8+128GB 幻鑽綠,10903483881.0,Mobile Phone,5.0,5.0
41,HUAWEI M5-PRO-10-GD GOLD M5 PRO TABLET,10532526617.0,Mobile Phone,5.0,5.0
42,HUAWEI NOVA 3I 手機 紫色,10583408739.0,Mobile Phone,5.0,5.0
43,Apple iPad (2018) Wi-Fi 32GB MR7F2ZP/A 太空灰,10395130356.0,Tablet,5.0,5.0
44,APPLE IPHONE XR 128GB 手機 橙色,10584849522.0,Mobile Phone,5.0,5.0
45,Microsoft Surface Go (Intel 4415Y/128GB/8GB RAM),10580223969.0,Tablet,5.0,5.0
46,Apple iPad (2018) Wi-Fi 32GB MR7G2ZP/A 銀色,10395156079.0,Tablet,5.0,5.0
47,SAMSUNG GALAXY NOTE 9 128GB 手機 藍色,10586383781.0,Mobile Phone,5.0,5.0
48,HUAWEI Y9 2019 智能手機 黑色,10695152159.0,Mobile Phone,5.0,5.0
49,HUAWEI NOVA 3I 手機 白色,10583408744.0,Mobile Phone,5.0,5.0
50,SAMSUNG6+128GB GALAXY A60 智能手機 黑色,11026147274.0,Mobile Phone,5.0,5.0
51,APPLE IPHONE XR 256GB 手機 白色,10584849539.0,Mobile Phone,5.0,5.0
52,HUAWEI M5-8-GD GOLD M5 TABLET,10532528362.0,Mobile Phone,5.0,5.0
53,Apple MacBook Air 13'' 1.8GHz i5 128GB 手提電腦,624902250.0,Laptop,5.0,5.0
54,HUAWEI NOVA 3I 手機 黑色,10583408737.0,Mobile Phone,5.0,5.0
55,Apple Macbook Pro 13 2.3GHz i5 128GB Silver MPXR2ZP/A,624902161.0,Laptop,5.0,5.0
