,median_rates,mean_rates,product_index,product_type,product_brand,product_name,product_price,average_rate,no_of_rates,seller,website,brand_to_num
0,1.5,2.7,H0972006_S_196,smartphone,Philips,5.5吋 4G-LTE 智能電話 (4+64GB) X598 (黑色),1099.0,2.7,10.0,ASK-Gadgets,https://www.hktvmall.com/hktv/zh/main/ASK-Gadgets/s/H0972006/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/55吋-4GLTE-智能電話-464GB-X598-黑色/p/H0972006_S_196,901
1,3.5,3.1,H0972006_S_F7,tablet,Teclast,超薄 notebook - F7 (6+128GB),2222.0,3.4,17.0,ASK-Gadgets,https://www.hktvmall.com/hktv/zh/main/ASK-Gadgets/s/H0972006/電子電器/電子電器/手機及平板電腦/平板電腦/超薄-notebook-F7-6128GB/p/H0972006_S_F7,401
2,2.5,2.9,H0972006_S_325,smartphone,三星,4G-LTE 智能手機 - GALAXY S4 (黑色),629.0,3.3,17.0,ASK-Super-Outlet,https://www.hktvmall.com/hktv/zh/main/ASK-Super-Outlet/s/H1142001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/4GLTE-智能手機-GALAXY-S4-黑色/p/H0972006_S_325,3351
3,5.0,4.57,H6725001_S_iSE_G_64_3A_U,smartphone,APPLE,"iPhone SE - 64GB, 二手9成新 (100%正常運作)(平行進口)",1370.0,4.6,7.0,HKTVmall-Outlet,https://www.hktvmall.com/hktv/zh/main/HKTVmall-Outlet/s/H1137001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-SE-64GB-二手9成新-100正常運作平行進口/p/H6725001_S_iSE_G_64_3A_U,3251
4,5.0,4.86,H0762001_S_XE500C13-K03US-800160302,laptop,三星,"(11.6"", N3060,4GB RAM,32GB eMMC) XE500C13-K01HK Chrome OS 筆記簿型電腦",1798.0,4.9,7.0,Mob-hk,https://www.hktvmall.com/hktv/zh/main/Mob-hk/s/H0762001/電子電器/電子電器/電腦及週邊設備/手提電腦/116-N30604GB-RAM32GB-eMMC-XE500C13K01HK-Chrome-OS-筆記簿型電腦/p/H0762001_S_XE500C13-K03US-800160302,3351
5,3.0,3.0,H0972006_S_ELUGA_C_BLUE,smartphone,Panasonic ,ELUGA C 全螢幕三邊超窄邊框5.5吋智能手機 (一年保養)(水波藍),1080.0,3.0,5.0,ASK-Super-Outlet,https://www.hktvmall.com/hktv/zh/main/ASK-Super-Outlet/s/H1142001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/ELUGA-C-全螢幕三邊超窄邊框55吋智能手機-一年保養水波藍/p/H0972006_S_ELUGA_C_BLUE,351
6,5.0,3.4,H5912001_S_Na0007_bk,smartphone,NOKIA,8110 4G雙卡雙待手機（黑色）（平行進口）,448.0,3.4,5.0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/8110-4G雙卡雙待手機黑色平行進口/p/H5912001_S_Na0007_bk,2451
7,5.0,3.4,H5683001_S_P1399,smartphone,TSK,A800 長者平安折合式手機/特大鈴聲字體/原裝行貨一年保養/黑色,498.0,3.4,5.0,日本ASK數碼專門店,https://www.hktvmall.com/hktv/zh/main/日本ASK數碼專門店/s/H5683001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/A800-長者平安折合式手機特大鈴聲字體原裝行貨一年保養黑色/p/H5683001_S_P1399,1751
8,4.0,3.5,H0972006_S_Lenovo_A1000,smartphone,聯想,智能手機 - A1000 (黑色),299.0,3.5,4.0,ASK-Super-Outlet,https://www.hktvmall.com/hktv/zh/main/ASK-Super-Outlet/s/H1142001/電子電器/電子電器/手機及平板電腦/手提電話/傳統手提電話/智能手機-A1000-黑色/p/H0972006_S_Lenovo_A1000,3301
9,3.5,3.25,H5912001_S_T0044_bk,tablet,小米,平板4 8英寸平板電腦LTE版 4G+64GB（黑色）（平行進口）,1888.0,3.2,4.0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/電腦及週邊設備/平板電腦/平板4-8英寸平板電腦LTE版-4G64GB黑色平行進口/p/H5912001_S_T0044_bk,3101
10,1.0,2.0,H0972006_S_320,smartphone,聯想,3G 智能手機 - A396 (粉紅色),329.0,2.0,3.0,ASK-Gadgets,https://www.hktvmall.com/hktv/zh/main/ASK-Gadgets/s/H0972006/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/3G-智能手機-A396-粉紅色/p/H0972006_S_320,3301
11,4.0,3.33,H5912001_S_MO0006_gd,smartphone,Motorola,MOTO E4 PLUS（金色）(香港行貨),899.0,3.3,3.0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/MOTO-E4-PLUS金色香港行貨/p/H5912001_S_MO0006_gd,2801
12,5.0,4.33,H6725001_S_i7_R_128_3A_U,smartphone,APPLE,"iPhone 7 - 128GB, 二手9成新 (100%正常運作)(平行進口)",2200.0,4.3,3.0,HKTVmall-Outlet,https://www.hktvmall.com/hktv/zh/main/HKTVmall-Outlet/s/H1137001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-7-128GB-二手9成新-100正常運作平行進口/p/H6725001_S_i7_R_128_3A_U,3251
13,5.0,5.0,H6588001_S_Huawei_P30Lite_Blue,smartphone,Huawei,P30 Lite 6GB+128GB 藍色 香港行貨,2249.0,5.0,3.0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/P30-Lite-6GB128GB-藍色-香港行貨/p/H6588001_S_Huawei_P30Lite_Blue,3201
14,5.0,5.0,H6603001_S_Aspire_SF114_32_P69T_NX_GZPCF_003,laptop,ACER,"SF114 14"" FHD N5000 4G 128G SHARE Win10 S mode (粉紅色)",2999.0,5.0,2.0,新域達有限公司,https://www.hktvmall.com/hktv/zh/main/新域達有限公司/s/H6603001/電子電器/電子電器/電腦及週邊設備/手提電腦/SF114-14-FHD-N5000-4G-128G-SHARE-Win10-S-mode-粉紅色/p/H6603001_S_Aspire_SF114_32_P69T_NX_GZPCF_003,3001
