median_rates,mean_rates,product_index,product_type,product_name,product_brand,price,avg_rating,total_comment,seller,website
5,5,10584849206,Mobile Phone,APPLE IPHONE XS 64GB 手機 金色,APPLE,7409,0,472,香港蘇寧,https://product.hksuning.com/0000000000/10584849206.html
5,5,10674060101,Mobile Phone,HUAWEI MATE 20 X 手機 藍色,HUAWEI,4988,0,505,香港蘇寧,https://product.hksuning.com/0000000000/10674060101.html
5,5,10584849457,Mobile Phone,APPLE IPHONE XR 128GB 手機 黑色,APPLE,5699,0,510,香港蘇寧,https://product.hksuning.com/0000000000/10584849457.html
5,5,10584849382,Mobile Phone,APPLE IPHONE XS MAX 256GB 手機 金色,APPLE,9199,0,509,香港蘇寧,https://product.hksuning.com/0000000000/10584849382.html
5,5,10555802003,Tablet,Apple iPad Pro 11 256GB Wi-Fi Space Gray MTXQ2ZP/A 平板電腦,Apple,6799,0,508,香港蘇寧,https://product.hksuning.com/0000000000/10555802003.html
5,5,10584849492,Mobile Phone,APPLE IPHONE XR 128GB 手機 白色,APPLE,5699,0,507,香港蘇寧,https://product.hksuning.com/0000000000/10584849492.html
5,5,10584849437,Mobile Phone,APPLE IPHONE XR 64GB 手機 黑色,APPLE,5199,0,507,香港蘇寧,https://product.hksuning.com/0000000000/10584849437.html
5,5,10584849318,Mobile Phone,APPLE IPHONE XS MAX 256GB 手機 太空灰,APPLE,9199,0,506,香港蘇寧,https://product.hksuning.com/0000000000/10584849318.html
5,5,10584849373,Mobile Phone,APPLE IPHONE XS MAX 256GB 手機 銀色,APPLE,9199,0,504,香港蘇寧,https://product.hksuning.com/0000000000/10584849373.html
5,5,10584849315,Mobile Phone,APPLE IPHONE XS MAX 64GB 手機 金色,APPLE,8169,0,504,香港蘇寧,https://product.hksuning.com/0000000000/10584849315.html
5,4.99,10584849215,Mobile Phone,APPLE IPHONE XS 256GB 手機 金色,APPLE,8644.05,0,504,香港蘇寧,https://product.hksuning.com/0000000000/10584849215.html
5,5,10674060100,Mobile Phone,HUAWEI MATE 20 PRO 手機 極光色,HUAWEI,5988,0,504,香港蘇寧,https://product.hksuning.com/0000000000/10674060100.html
5,4.99,10395357178,Tablet,Apple iPad (2018) Wi-Fi 128GB MRJP2ZP/A 金色,Apple,3088,0,503,香港蘇寧,https://product.hksuning.com/0000000000/10395357178.html
5,4.99,10584849436,Mobile Phone,APPLE IPHONE XS MAX 512GB 手機 金色,APPLE,11019,0,502,香港蘇寧,https://product.hksuning.com/0000000000/10584849436.html
5,5,11020212651,Mobile Phone,HUAWEI P30 8+128GB智能手機 天空之境,HUAWEI,4088,0,502,香港蘇寧,https://product.hksuning.com/0000000000/11020212651.html
5,5,10584849493,Mobile Phone,APPLE IPHONE XR 128GB 手機 紅色,APPLE,5699,0,502,香港蘇寧,https://product.hksuning.com/0000000000/10584849493.html
5,5,11020212646,Mobile Phone,HUAWEI P30 PRO 8+256GB 智能手機 黑色,HUAWEI,5498,0,501,香港蘇寧,https://product.hksuning.com/0000000000/11020212646.html
5,5,10903483880,Mobile Phone,SAMSUNG GALAXY S10 智能手機 8+128GB 幻鑽黑,SAMSUNG,5298,0,501,香港蘇寧,https://product.hksuning.com/0000000000/10903483880.html
5,5,11020212649,Mobile Phone,HUAWEI P30 PRO 8+512GB 智能手機 極光色,HUAWEI,6398,0,501,香港蘇寧,https://product.hksuning.com/0000000000/11020212649.html
5,5,10903483742,Mobile Phone,SAMSUNG GALAXY S10+ 智能手機 8+128GB 幻鑽黑,SAMSUNG,6098,0,500,香港蘇寧,https://product.hksuning.com/0000000000/10903483742.html
5,5,11020212652,Mobile Phone,HUAWEI P30 8+128GB 智能手機 極光色,HUAWEI,4088,0,500,香港蘇寧,https://product.hksuning.com/0000000000/11020212652.html
5,5,10584849529,Mobile Phone,APPLE IPHONE XR 128GB 手機 藍色,APPLE,5699,0,500,香港蘇寧,https://product.hksuning.com/0000000000/10584849529.html
5,5,11020212648,Mobile Phone,HUAWEI P30 PRO 8+256GB 智能手機 天空之境,HUAWEI,5498,0,500,香港蘇寧,https://product.hksuning.com/0000000000/11020212648.html
5,5,10903483866,Mobile Phone,SAMSUNG GALAXY S10 智能手機 8+128GB 幻鑽白,SAMSUNG,5548,0,500,香港蘇寧,https://product.hksuning.com/0000000000/10903483866.html
5,5,10903483741,Mobile Phone,SAMSUNG GALAXY S10+ 智能手機8+128GB 幻鑽白,SAMSUNG,6398,0,500,香港蘇寧,https://product.hksuning.com/0000000000/10903483741.html
5,5,10860882500,Mobile Phone,HUAWEI NOVA 4 智能手機 藍色,HUAWEI,2588,0,500,香港蘇寧,https://product.hksuning.com/0000000000/10860882500.html
5,5,601497811,Mobile Phone,HUAWEI MATE9 GRAPHITE BLACK MATE9 PRO,HUAWEI,5888,0,496,香港蘇寧,https://product.hksuning.com/0000000000/601497811.html
5,5,10903483746,Mobile Phone,SAMSUNG GALAXY S10+ 智能手機 8+128GB 幻鑽綠,SAMSUNG,6098,0,491,香港蘇寧,https://product.hksuning.com/0000000000/10903483746.html
