median_rates,mean_rates,product_index,product_type,product_name,prodect_brand,price,avg_rating,total_comment,seller,website
5.0,5.0,10584849206.0,Mobile Phone,APPLE IPHONE XS 64GB 手機 金色,APPLE,7409.0,0.0,472.0,香港蘇寧,https://product.hksuning.com/0000000000/10584849206.html
5.0,5.0,10674060101.0,Mobile Phone,HUAWEI MATE 20 X 手機 藍色,HUAWEI,4988.0,0.0,505.0,香港蘇寧,https://product.hksuning.com/0000000000/10674060101.html
5.0,5.0,10584849457.0,Mobile Phone,APPLE IPHONE XR 128GB 手機 黑色,APPLE,5699.0,0.0,510.0,香港蘇寧,https://product.hksuning.com/0000000000/10584849457.html
5.0,5.0,10584849382.0,Mobile Phone,APPLE IPHONE XS MAX 256GB 手機 金色,APPLE,9199.0,0.0,509.0,香港蘇寧,https://product.hksuning.com/0000000000/10584849382.html
5.0,5.0,10555802003.0,Tablet,Apple iPad Pro 11 256GB Wi-Fi Space Gray MTXQ2ZP/A 平板電腦,Apple,6799.0,0.0,508.0,香港蘇寧,https://product.hksuning.com/0000000000/10555802003.html
5.0,5.0,10584849492.0,Mobile Phone,APPLE IPHONE XR 128GB 手機 白色,APPLE,5699.0,0.0,507.0,香港蘇寧,https://product.hksuning.com/0000000000/10584849492.html
5.0,5.0,10584849437.0,Mobile Phone,APPLE IPHONE XR 64GB 手機 黑色,APPLE,5199.0,0.0,507.0,香港蘇寧,https://product.hksuning.com/0000000000/10584849437.html
5.0,5.0,10584849318.0,Mobile Phone,APPLE IPHONE XS MAX 256GB 手機 太空灰,APPLE,9199.0,0.0,506.0,香港蘇寧,https://product.hksuning.com/0000000000/10584849318.html
5.0,5.0,10584849373.0,Mobile Phone,APPLE IPHONE XS MAX 256GB 手機 銀色,APPLE,9199.0,0.0,504.0,香港蘇寧,https://product.hksuning.com/0000000000/10584849373.html
5.0,5.0,10584849315.0,Mobile Phone,APPLE IPHONE XS MAX 64GB 手機 金色,APPLE,8169.0,0.0,504.0,香港蘇寧,https://product.hksuning.com/0000000000/10584849315.html
5.0,4.99,10584849215.0,Mobile Phone,APPLE IPHONE XS 256GB 手機 金色,APPLE,8644.05,0.0,504.0,香港蘇寧,https://product.hksuning.com/0000000000/10584849215.html
5.0,5.0,10674060100.0,Mobile Phone,HUAWEI MATE 20 PRO 手機 極光色,HUAWEI,5988.0,0.0,504.0,香港蘇寧,https://product.hksuning.com/0000000000/10674060100.html
5.0,4.99,10395357178.0,Tablet,Apple iPad (2018) Wi-Fi 128GB MRJP2ZP/A 金色,Apple,3088.0,0.0,503.0,香港蘇寧,https://product.hksuning.com/0000000000/10395357178.html
5.0,4.99,10584849436.0,Mobile Phone,APPLE IPHONE XS MAX 512GB 手機 金色,APPLE,11019.0,0.0,502.0,香港蘇寧,https://product.hksuning.com/0000000000/10584849436.html
5.0,5.0,11020212651.0,Mobile Phone,HUAWEI P30 8+128GB智能手機 天空之境,HUAWEI,4088.0,0.0,502.0,香港蘇寧,https://product.hksuning.com/0000000000/11020212651.html
5.0,5.0,10584849493.0,Mobile Phone,APPLE IPHONE XR 128GB 手機 紅色,APPLE,5699.0,0.0,502.0,香港蘇寧,https://product.hksuning.com/0000000000/10584849493.html
5.0,5.0,11020212646.0,Mobile Phone,HUAWEI P30 PRO 8+256GB 智能手機 黑色,HUAWEI,5498.0,0.0,501.0,香港蘇寧,https://product.hksuning.com/0000000000/11020212646.html
5.0,5.0,10903483880.0,Mobile Phone,SAMSUNG GALAXY S10 智能手機 8+128GB 幻鑽黑,SAMSUNG,5298.0,0.0,501.0,香港蘇寧,https://product.hksuning.com/0000000000/10903483880.html
5.0,5.0,11020212649.0,Mobile Phone,HUAWEI P30 PRO 8+512GB 智能手機 極光色,HUAWEI,6398.0,0.0,501.0,香港蘇寧,https://product.hksuning.com/0000000000/11020212649.html
5.0,5.0,10903483742.0,Mobile Phone,SAMSUNG GALAXY S10+ 智能手機 8+128GB 幻鑽黑,SAMSUNG,6098.0,0.0,500.0,香港蘇寧,https://product.hksuning.com/0000000000/10903483742.html
5.0,5.0,11020212652.0,Mobile Phone,HUAWEI P30 8+128GB 智能手機 極光色,HUAWEI,4088.0,0.0,500.0,香港蘇寧,https://product.hksuning.com/0000000000/11020212652.html
5.0,5.0,10584849529.0,Mobile Phone,APPLE IPHONE XR 128GB 手機 藍色,APPLE,5699.0,0.0,500.0,香港蘇寧,https://product.hksuning.com/0000000000/10584849529.html
5.0,5.0,11020212648.0,Mobile Phone,HUAWEI P30 PRO 8+256GB 智能手機 天空之境,HUAWEI,5498.0,0.0,500.0,香港蘇寧,https://product.hksuning.com/0000000000/11020212648.html
5.0,5.0,10903483866.0,Mobile Phone,SAMSUNG GALAXY S10 智能手機 8+128GB 幻鑽白,SAMSUNG,5548.0,0.0,500.0,香港蘇寧,https://product.hksuning.com/0000000000/10903483866.html
5.0,5.0,10903483741.0,Mobile Phone,SAMSUNG GALAXY S10+ 智能手機8+128GB 幻鑽白,SAMSUNG,6398.0,0.0,500.0,香港蘇寧,https://product.hksuning.com/0000000000/10903483741.html
5.0,5.0,10860882500.0,Mobile Phone,HUAWEI NOVA 4 智能手機 藍色,HUAWEI,2588.0,0.0,500.0,香港蘇寧,https://product.hksuning.com/0000000000/10860882500.html
5.0,5.0,601497811.0,Mobile Phone,HUAWEI MATE9 GRAPHITE BLACK MATE9 PRO,HUAWEI,5888.0,0.0,496.0,香港蘇寧,https://product.hksuning.com/0000000000/601497811.html
5.0,5.0,10903483746.0,Mobile Phone,SAMSUNG GALAXY S10+ 智能手機 8+128GB 幻鑽綠,SAMSUNG,6098.0,0.0,491.0,香港蘇寧,https://product.hksuning.com/0000000000/10903483746.html
5.0,5.0,10674060098.0,Mobile Phone,HUAWEI MATE 20 PRO 手機 綠色,HUAWEI,5988.0,0.0,490.0,香港蘇寧,https://product.hksuning.com/0000000000/10674060098.html
5.0,5.0,10584849430.0,Mobile Phone,APPLE IPHONE XS MAX 512GB 手機 太空灰,APPLE,11019.0,0.0,489.0,香港蘇寧,https://product.hksuning.com/0000000000/10584849430.html
5.0,5.0,624902167.0,Laptop,Apple MacBook Pro 13 2.3GHz i5 256GB 手提電腦,Apple,10798.0,0.0,484.0,香港蘇寧,https://product.hksuning.com/0000000000/624902167.html
5.0,5.0,10395189998.0,Tablet,Apple iPad (2018) Wi-Fi 128GB MR7K2ZP/A 銀色,Apple,3088.0,0.0,481.0,香港蘇寧,https://product.hksuning.com/0000000000/10395189998.html
5.0,5.0,10584849534.0,Mobile Phone,APPLE IPHONE XR 256GB 手機 黑色,APPLE,6499.0,0.0,473.0,香港蘇寧,https://product.hksuning.com/0000000000/10584849534.html
