,Product Index,Product Name,Product Specification,Product Brand Number,Product Price
0,10584849206.0,APPLE IPHONE XS 64GB 手機 金色,64GB,1501,7409.0
1,10674060101.0,HUAWEI MATE 20 X 手機 藍色,None,1351,4988.0
2,10584849457.0,APPLE IPHONE XR 128GB 手機 黑色,128GB,1501,5699.0
3,10584849382.0,APPLE IPHONE XS MAX 256GB 手機 金色,256GB,1501,9199.0
4,10555802003.0,Apple iPad Pro 11 256GB Wi-Fi Space Gray MTXQ2ZP/A 平板電腦,256GB,1451,6799.0
5,10584849492.0,APPLE IPHONE XR 128GB 手機 白色,128GB,1501,5699.0
6,10584849437.0,APPLE IPHONE XR 64GB 手機 黑色,64GB,1501,5199.0
7,10584849318.0,APPLE IPHONE XS MAX 256GB 手機 太空灰,256GB,1501,9199.0
8,10584849373.0,APPLE IPHONE XS MAX 256GB 手機 銀色,256GB,1501,9199.0
9,10584849315.0,APPLE IPHONE XS MAX 64GB 手機 金色,64GB,1501,8169.0
10,10584849215.0,APPLE IPHONE XS 256GB 手機 金色,256GB,1501,8644.05
11,10674060100.0,HUAWEI MATE 20 PRO 手機 極光色,None,1351,5988.0
12,10395357178.0,Apple iPad (2018) Wi-Fi 128GB MRJP2ZP/A 金色,128GB,1451,3088.0
13,10584849436.0,APPLE IPHONE XS MAX 512GB 手機 金色,512GB,1501,11019.0
14,11020212651.0,HUAWEI P30 8+128GB智能手機 天空之境,128GB,1351,4088.0
15,10584849493.0,APPLE IPHONE XR 128GB 手機 紅色,128GB,1501,5699.0
16,11020212646.0,HUAWEI P30 PRO 8+256GB 智能手機 黑色,256GB,1351,5498.0
17,10903483880.0,SAMSUNG GALAXY S10 智能手機 8+128GB 幻鑽黑,128GB,1401,5298.0
18,11020212649.0,HUAWEI P30 PRO 8+512GB 智能手機 極光色,512GB,1351,6398.0
19,10903483742.0,SAMSUNG GALAXY S10+ 智能手機 8+128GB 幻鑽黑,128GB,1401,6098.0
20,11020212652.0,HUAWEI P30 8+128GB 智能手機 極光色,128GB,1351,4088.0
21,10584849529.0,APPLE IPHONE XR 128GB 手機 藍色,128GB,1501,5699.0
22,11020212648.0,HUAWEI P30 PRO 8+256GB 智能手機 天空之境,256GB,1351,5498.0
23,10903483866.0,SAMSUNG GALAXY S10 智能手機 8+128GB 幻鑽白,128GB,1401,5548.0
24,10903483741.0,SAMSUNG GALAXY S10+ 智能手機8+128GB 幻鑽白,128GB,1401,6398.0
25,10860882500.0,HUAWEI NOVA 4 智能手機 藍色,None,1351,2588.0
26,601497811.0,HUAWEI MATE9 GRAPHITE BLACK MATE9 PRO,None,1351,5888.0
27,10903483746.0,SAMSUNG GALAXY S10+ 智能手機 8+128GB 幻鑽綠,128GB,1401,6098.0
28,10674060098.0,HUAWEI MATE 20 PRO 手機 綠色,None,1351,5988.0
29,10584849430.0,APPLE IPHONE XS MAX 512GB 手機 太空灰,512GB,1501,11019.0
30,624902167.0,Apple MacBook Pro 13 2.3GHz i5 256GB 手提電腦,3G+256GB,1451,10798.0
31,10395189998.0,Apple iPad (2018) Wi-Fi 128GB MR7K2ZP/A 銀色,128GB,1451,3088.0
32,10584849534.0,APPLE IPHONE XR 256GB 手機 黑色,256GB,1501,6499.0
33,624902159.0,Apple MacBook Pro 13 2.3GHz i5 128GB 手提電腦,3G+128GB,1451,9388.0
34,765126282.0,DELL Inspiron 15-5570 15L-R1740-S-W10 i7 256GB 手提電腦,256GB,1001,7599.0
35,10584849438.0,APPLE IPHONE XR 64GB 手機 白色,64GB,1501,5199.0
36,10584849441.0,APPLE IPHONE XR 64GB 手機 紅色,64GB,1501,5199.0
37,10584849156.0,APPLE IPHONE XS 64GB 手機 太空灰,64GB,1501,7409.0
38,624902162.0,Apple MacBook Pro 13 2.3GHz i5 256GB 手提電腦,3G+256GB,1451,10798.0
39,10584849307.0,APPLE IPHONE XS MAX 64GB 手機 太空灰,64GB,1501,8169.0
40,10903483881.0,SAMSUNG GALAXY S10 智能手機 8+128GB 幻鑽綠,128GB,1401,5298.0
41,10532526617.0,HUAWEI M5-PRO-10-GD GOLD M5 PRO TABLET,None,1351,3580.0
42,10583408739.0,HUAWEI NOVA 3I 手機 紫色,None,1351,1788.0
43,10395130356.0,Apple iPad (2018) Wi-Fi 32GB MR7F2ZP/A 太空灰,32GB,1451,2428.0
44,10584849522.0,APPLE IPHONE XR 128GB 手機 橙色,128GB,1501,5699.0
45,10580223969.0,Microsoft Surface Go (Intel 4415Y/128GB/8GB RAM),128GB+8GB,1251,4288.0
46,10395156079.0,Apple iPad (2018) Wi-Fi 32GB MR7G2ZP/A 銀色,32GB+7G,1451,2428.0
47,10586383781.0,SAMSUNG GALAXY NOTE 9 128GB 手機 藍色,128GB,1401,5556.12
48,10695152159.0,HUAWEI Y9 2019 智能手機 黑色,None,1351,1688.0
49,10583408744.0,HUAWEI NOVA 3I 手機 白色,None,1351,1788.0
