,Product Index,Product Name,Product Specification,Product Brand Number,Product Price
0,H0972006_S_F7,超薄 notebook - F7 (6+128GB),128GB,401,2222.0
1,H0972006_S_325,4G-LTE 智能手機 - GALAXY S4 (黑色),4G,3351,629.0
2,H0972006_S_196,5.5吋 4G-LTE 智能電話 (4+64GB) X598 (黑色),4G+64GB,901,1099.0
3,H0762001_S_XE500C13-K03US-800160302,"(11.6"", N3060,4GB RAM,32GB eMMC) XE500C13-K01HK Chrome OS 筆記簿型電腦",4GB+32GB,3351,1798.0
4,H6725001_S_iSE_G_64_3A_U,"iPhone SE - 64GB, 二手9成新 (100%正常運作)(平行進口)",64GB,3251,1370.0
5,H5683001_S_P1399,A800 長者平安折合式手機/特大鈴聲字體/原裝行貨一年保養/黑色,None,1751,498.0
6,H5912001_S_Na0007_bk,8110 4G雙卡雙待手機（黑色）（平行進口）,4G,2451,448.0
7,H0972006_S_ELUGA_C_BLUE,ELUGA C 全螢幕三邊超窄邊框5.5吋智能手機 (一年保養)(水波藍),None,351,1080.0
8,H0972006_S_Lenovo_A1000,智能手機 - A1000 (黑色),None,3301,299.0
9,H5912001_S_T0044_bk,平板4 8英寸平板電腦LTE版 4G+64GB（黑色）（平行進口）,4G+64GB,3101,1888.0
10,H6725001_S_i7_R_128_3A_U,"iPhone 7 - 128GB, 二手9成新 (100%正常運作)(平行進口)",128GB,3251,2200.0
11,H5912001_S_MO0006_gd,MOTO E4 PLUS（金色）(香港行貨),None,2801,899.0
12,H6588001_S_Huawei_P30Lite_Blue,P30 Lite 6GB+128GB 藍色 香港行貨,6GB+128GB,3201,2249.0
13,H0972006_S_320,3G 智能手機 - A396 (粉紅色),3G,3301,329.0
14,H0775001_S_AL04,A3 4G LTE 5046I智能電話 (白)- Alcatel,4G,2101,409.0
15,H6588001_S_Samsung_S10P_128_White,Galaxy S10+ 8GB+128GB 幻鑽白色 香港行貨,8GB+128GB,3351,6049.0
16,H6588001_S_Huawei_P30Lite_White,P30 Lite 6GB+128GB 白色 香港行貨,6GB+128GB,3201,2249.0
17,H6588001_S_Huawei_M5Pro_Gold,M5 Pro Wi-Fi 4GB+64GB 平板電腦 金色 香港行貨,4GB+64GB,3201,3599.0
18,H5982001_S_catb30,Caterpillar CAT B30 香港行貨一年保養,None,1701,600.0
19,H0762001_S_Acer-SF314-56-52YM-007160309,"Swift 3 筆記型電腦 (14"", i5-8265U, 8GB RAM, 128GB SSD, 1TB HDD, Win 10) SF314-56-52YM",8GB+128GB,3001,5098.0
20,H6603001_S_Aspire_SF114_32_P1MD_NX_GXVCF_004,"SF114 14"" FHD N5000 4G 128G SHARE Win10 S mode (銀色)",4G+128G,3001,2999.0
21,H6603001_S_Aspire_SF114_32_P69T_NX_GZPCF_003,"SF114 14"" FHD N5000 4G 128G SHARE Win10 S mode (粉紅色)",4G+128G,3001,2999.0
22,H6588001_S_Huawei_Y9_2019_Purple,Y9 2019 4GB+64GB 紫色 香港行貨,4GB+64GB,3201,1649.0
23,H5912001_S_SAM0030_be,GALAXY NOTE 8 DUAL 64GB N950FD（藍色）（平行進口）,64GB,3351,4499.0
24,H0778001_S_Z8,Z8，八核芯，全高清，4G雙卡雙待，一年保養！,4G,1351,1790.0
25,H5683001_S_P1518,A812 長者平安折合式手機/特大鈴聲字體/原裝行貨/黑色,None,1751,588.0
26,H0972006_S_zenfone_6,ZenFone Max Pro (M1) (ZB602KL) - 6GB RAM / 超長效 5000mAh 電池 / 支援 NFC (酷炫銀),6GB,2751,1549.0
27,H6588001_S_Samsung_TabA_8_2019_WiFi,"Tab A 8"" 2019 2GB+32GB Wi-Fi 平板電腦 T290 銀色 香港行貨",2GB+32GB,3351,949.0
28,H0661001_S_NBOHPA-HPSTREAM11-ah113TU,"STREAM 11-ah113TU 11.6"" 4NT27PA#AB5 Infinity Purple",None,2001,1950.0
29,H6725001_S_i7_R_128_1_U,"iPhone 7 - 128GB, 二手9成9新 (100%正常運作)(平行進口)",128GB,3251,2780.0
30,H5912001_S_AP0023-gd,iPhone XS 512GB-金（香港行貨）,512GB,3251,10888.0
31,H0775001_S_ZF4SELBLK,ZenFone 4 Selfie (ZD553KL)(黑)  [平行進口],None,2751,899.0
32,H5912001_S_EK0001,EKTRA（香港行貨）,None,1101,1499.0
33,H6588001_S_Oneplus_7_8_256_Red,OnePlus 7 8GB+256GB 珐琅红色 平行進口 中國版,8GB+256GB,2651,3999.0
34,H0778001_S_X1_BK,X1，Qualcomm四核，Sony鏡頭，一年保養！,None,1351,1090.0
35,H6588001_S_Huawei_Y7_Pro_2019_Black,Y7 Pro 2019 3GB+32GB 幻夜黑色 香港行貨,3GB+32GB,3201,1549.0
36,H5982001_S_cats41,Caterpillar CAT S41 香港行貨一年保養,None,1701,3180.0
37,H0661001_S_NBOHPA-14-ce1031TX,Pavilion 14-ce1031TX 5MX39PA#AB5- Tranquil Pink,5M,2001,5388.0
38,H0972006_S_T8,4G-LTE 8吋智能手機 - T8,4G,601,698.0
39,H6588002_S_Samsung_A40s_Gold_CN,Galaxy A40s 6GB/64GB A3050 金色 (水貨),6GB+64GB,1951,1498.0
40,H6302001_S_w1000047,8110 4G雙卡雙待雙核智能手機電話黃色,4G,2451,560.0
41,S1076001_S_193268289345,IP S530-13IWL (81J7001LHH)手提筆記型電腦,None,2501,7273.0
42,H6588001_S_Huawei_M5_Lite_8_LTE,M5 Lite 8 LTE 3GB+32GB 平板電腦 深空灰色 香港行貨,3GB+32GB,3201,1599.0
43,H6603001_S_IdeaPad_S340_14IWL_81N7007XHH,"IdeaPad S340-14IWL 14"" IPS FHD i5-8265u 8G 256G+1TB SHARE Win10 Home",8G+256G,3301,5499.0
44,H6588001_S_Vivo_Y95_Black,Y95 4GB+64GB 星夜黑 香港行貨,4GB+64GB,3151,1749.0
45,H5912001_S_VI0011,NEX 雙屏版 10+128GB-藍（香港行貨）,128GB,3151,4299.0
46,H6588001_S_Samsung_S10e_Black,Galaxy S10e 6GB+128GB 幻鑽黑色 香港行貨,6GB+128GB,3351,4599.0
47,H6588001_S_Nokia_2720Flip_Black,2720 Flip 4G 功能手機 黑色 香港行貨,4G,2451,798.0
48,H5982001_S_blackberrykey2le64gbblk,BlackBerry Key 2 LE 64GB Black 香港行貨一年保養,64GB,2151,3480.0
49,H5912001_S_ME0001_be,T8 128GB（藍色）（香港行貨）,128GB,1501,1998.0
50,H7007001_S_SAMA205H01OG01,香港行貨(珊瑚橙色)GALAXY A20 A205 3GB RAM 32GB ROM,3GB+32GB,3351,1428.0
