,index,name,ram,storage,brand_in_num,mean_rate,total_comment,price
0,10584849206.0,APPLE IPHONE XS 64GB 手機 金色,0,64,1501,5.0,472.0,7409.0
1,10674060101.0,HUAWEI MATE 20 X 手機 藍色,0,0,1351,5.0,505.0,4988.0
2,10584849457.0,APPLE IPHONE XR 128GB 手機 黑色,0,128,1501,5.0,510.0,5699.0
3,10584849382.0,APPLE IPHONE XS MAX 256GB 手機 金色,0,256,1501,5.0,509.0,9199.0
4,10555802003.0,Apple iPad Pro 11 256GB Wi-Fi Space Gray MTXQ2ZP/A 平板電腦,0,256,1451,5.0,508.0,6799.0
5,10584849492.0,APPLE IPHONE XR 128GB 手機 白色,0,128,1501,5.0,507.0,5699.0
6,10584849437.0,APPLE IPHONE XR 64GB 手機 黑色,0,64,1501,5.0,507.0,5199.0
7,10584849318.0,APPLE IPHONE XS MAX 256GB 手機 太空灰,0,256,1501,5.0,506.0,9199.0
8,10584849373.0,APPLE IPHONE XS MAX 256GB 手機 銀色,0,256,1501,5.0,504.0,9199.0
9,10584849315.0,APPLE IPHONE XS MAX 64GB 手機 金色,0,64,1501,5.0,504.0,8169.0
10,10584849215.0,APPLE IPHONE XS 256GB 手機 金色,0,256,1501,4.99,504.0,8644.05
11,10674060100.0,HUAWEI MATE 20 PRO 手機 極光色,0,0,1351,5.0,504.0,5988.0
12,10395357178.0,Apple iPad (2018) Wi-Fi 128GB MRJP2ZP/A 金色,0,128,1451,4.99,503.0,3088.0
13,10584849436.0,APPLE IPHONE XS MAX 512GB 手機 金色,0,512,1501,4.99,502.0,11019.0
14,11020212651.0,HUAWEI P30 8+128GB智能手機 天空之境,0,128,1351,5.0,502.0,4088.0
15,10584849493.0,APPLE IPHONE XR 128GB 手機 紅色,0,128,1501,5.0,502.0,5699.0
16,11020212646.0,HUAWEI P30 PRO 8+256GB 智能手機 黑色,0,256,1351,5.0,501.0,5498.0
17,10903483880.0,SAMSUNG GALAXY S10 智能手機 8+128GB 幻鑽黑,0,128,1401,5.0,501.0,5298.0
18,11020212649.0,HUAWEI P30 PRO 8+512GB 智能手機 極光色,0,512,1351,5.0,501.0,6398.0
19,10903483742.0,SAMSUNG GALAXY S10+ 智能手機 8+128GB 幻鑽黑,0,128,1401,5.0,500.0,6098.0
20,11020212652.0,HUAWEI P30 8+128GB 智能手機 極光色,0,128,1351,5.0,500.0,4088.0
21,10584849529.0,APPLE IPHONE XR 128GB 手機 藍色,0,128,1501,5.0,500.0,5699.0
22,11020212648.0,HUAWEI P30 PRO 8+256GB 智能手機 天空之境,0,256,1351,5.0,500.0,5498.0
23,10903483866.0,SAMSUNG GALAXY S10 智能手機 8+128GB 幻鑽白,0,128,1401,5.0,500.0,5548.0
24,10903483741.0,SAMSUNG GALAXY S10+ 智能手機8+128GB 幻鑽白,0,128,1401,5.0,500.0,6398.0
25,10860882500.0,HUAWEI NOVA 4 智能手機 藍色,0,0,1351,5.0,500.0,2588.0
26,601497811.0,HUAWEI MATE9 GRAPHITE BLACK MATE9 PRO,0,0,1351,5.0,496.0,5888.0
27,10903483746.0,SAMSUNG GALAXY S10+ 智能手機 8+128GB 幻鑽綠,0,128,1401,5.0,491.0,6098.0
28,10674060098.0,HUAWEI MATE 20 PRO 手機 綠色,0,0,1351,5.0,490.0,5988.0
29,10584849430.0,APPLE IPHONE XS MAX 512GB 手機 太空灰,0,512,1501,5.0,489.0,11019.0
30,624902167.0,Apple MacBook Pro 13 2.3GHz i5 256GB 手提電腦,0,256,1451,5.0,484.0,10798.0
31,10395189998.0,Apple iPad (2018) Wi-Fi 128GB MR7K2ZP/A 銀色,0,128,1451,5.0,481.0,3088.0
32,10584849534.0,APPLE IPHONE XR 256GB 手機 黑色,0,256,1501,5.0,473.0,6499.0
33,624902159.0,Apple MacBook Pro 13 2.3GHz i5 128GB 手提電腦,0,128,1451,5.0,466.0,9388.0
34,765126282.0,DELL Inspiron 15-5570 15L-R1740-S-W10 i7 256GB 手提電腦,0,256,1001,5.0,459.0,7599.0
35,10584849438.0,APPLE IPHONE XR 64GB 手機 白色,0,64,1501,5.0,459.0,5199.0
36,10584849441.0,APPLE IPHONE XR 64GB 手機 紅色,0,64,1501,5.0,458.0,5199.0
37,10584849156.0,APPLE IPHONE XS 64GB 手機 太空灰,0,64,1501,5.0,456.0,7409.0
38,624902162.0,Apple MacBook Pro 13 2.3GHz i5 256GB 手提電腦,0,256,1451,5.0,453.0,10798.0
39,10584849307.0,APPLE IPHONE XS MAX 64GB 手機 太空灰,0,64,1501,5.0,451.0,8169.0
40,10903483881.0,SAMSUNG GALAXY S10 智能手機 8+128GB 幻鑽綠,0,128,1401,5.0,447.0,5298.0
41,10532526617.0,HUAWEI M5-PRO-10-GD GOLD M5 PRO TABLET,0,0,1351,5.0,444.0,3580.0
42,10583408739.0,HUAWEI NOVA 3I 手機 紫色,0,0,1351,5.0,441.0,1788.0
43,10395130356.0,Apple iPad (2018) Wi-Fi 32GB MR7F2ZP/A 太空灰,0,32,1451,5.0,438.0,2428.0
44,10584849522.0,APPLE IPHONE XR 128GB 手機 橙色,0,128,1501,5.0,438.0,5699.0
45,10580223969.0,Microsoft Surface Go (Intel 4415Y/128GB/8GB RAM),8,128,1251,5.0,436.0,4288.0
46,10395156079.0,Apple iPad (2018) Wi-Fi 32GB MR7G2ZP/A 銀色,0,32,1451,5.0,436.0,2428.0
47,10586383781.0,SAMSUNG GALAXY NOTE 9 128GB 手機 藍色,0,128,1401,5.0,424.0,5556.12
