,product_index,username,rate_date,user_rate,buyer_comment
0,H5912001_S_LG0011-pr,女士 陳, 2019-07-28 ,1,"須要用特殊工具才能安裝S安裝sim卡,很麻煩,用起床倒還行"
1,H6482001_S_128,Po Pio Poon, 2019-10-12 ,5,Good service
2,H6482001_S_128,Andrew Lau, 2019-08-11 ,5,效率快，願意解答客戶提問
3,H6482001_S_128,David Wong, 2019-06-19 ,5,Placed order Tuesday evening. Battery changed Wednesday afternoon. Very efficient. Thanks
4,H6482001_S_128,Forward Yanchi, 2019-06-05 ,5,"師傅守時, 技巧專業, 服務快捷"
5,H6482001_S_128,明 明, 2018-12-22 ,5,非常好，有禮貌
6,H5300001_S_ALGV405EBW6-128GBNPGY,WAI CHING YIP, 2019-09-30 ,5,通知供應商後便立刻處理送貨事宜，包裝細心，及收貨時的温馨提示，非常好!
7,H5683001_S_P1399,Judy wong, 2019-03-05 ,5,OK
8,H5683001_S_P1399,Penny Chan, 2019-01-14 ,1,插了電話咭也接收不到訊號，是壞機抑或只支援某類SIM咭呢？
9,H5683001_S_P1399,Cindy Chan, 2019-01-06 ,1,收貨當天已發現電話的5字按鍵是壞的。
10,H5683001_S_P1399,Remy Hui, 2018-12-31 ,5,婆婆用後讚簡單易用
11,H5683001_S_P1399,Winnie Ho, 2018-04-12 ,5,簡單易用，幾日充一次電，這個價錢算係OK
12,H6588001_S_Samsung_A70_6_White,譚丞謙, 2019-10-11 ,5,好好用
13,H0972006_S_Honor_10_Black,Nicholas Ng, 2019-06-11 ,5,隻藍色好正，又有得升android 9，So far so good
14,H5912001_S_SAM0030_be,kevin king, 2018-10-11 ,5,good
15,H5912001_S_SAM0030_be,Wai Chu Wong, 2018-09-29 ,3,"The note 8 is from United Arab Emirates, the phone have no problem but please mention it in the name, instead of saying that it's 平行進口"
16,H5393001_S_1001277,wing keung chan, 2018-07-14 ,1,個充電器、點解會係兩隻圓腳㗎！
17,H5982001_S_catb30,Auguestina Ding, 2019-08-21 ,1,因為聲稱待機時間很長才買的，買返黎充滿電，咩都冇做只是待機，電池半日已經冇咗一半電…
18,H5982001_S_catb30,pang pang, 2019-05-01 ,5,感覺上好防水
19,H5912001_S_SN0001,Henry Chan, 2019-07-09 ,1,拿了回家試機，怎樣也不能正常使用，失望！
20,H5982001_S_cats41,Jovan Li, 2019-01-05 ,5,good
