,product_index,username,rate_date,user_rate,buyer_comment
0,H6588001_S_Samsung_TabA_8_2019_WiFi,Lawrence Ka Yeung Cheung, 2019-08-27 ,5,Excellent
1,H6588001_S_Samsung_TabA_8_2019_WiFi,H O小姐 如冇人请放在樓下保安, 2019-08-20 ,5,嘩好正易安裝。
2,H6800001_S_BGT0026,Lai nar lana Leung, 2019-09-18 ,5,Good service
3,H0972006_S_F7,YM Yeung, 2019-07-22 ,1,跟機放火牛和線的位置是空的，欠了火牛和線，沒法使用用?
4,H0972006_S_F7,D C, 2019-06-16 ,4,用作一般文書處理0k，價格實惠
5,H0972006_S_F7,chuen hin Chiu, 2019-04-02 ,4,價值合理
6,H0972006_S_F7,wai man suen, 2019-03-06 ,1,充電線冇反應！麻煩跟進
7,H0972006_S_F7,Shirley Ho, 2019-01-25 ,5,"good quality,  thin, light and fast"
8,H0972006_S_F7,K Chan, 2019-01-17 ,3,"剛買了但不能charge 電, 不知是 laptop 還是火牛的問題, 我應該如果處理? 我沒有類似的火牛測試 laptop. "
9,H0972006_S_F7,Jenny Cheung, 2019-01-11 ,5,好抵用，正！
10,H0972006_S_F7,chan chan, 2019-01-02 ,5,好用
11,H0972006_S_F7,Connie Ng, 2018-12-31 ,1,"開機之後不停閃，打去保養又話只得晚上19:30 : 20:00,完全無人理"
12,H0972006_S_F7,Brenda Kwok, 2018-12-23 ,2,"按shift 2和3 变不到@和#, 是否壞了這兩個制"
13,H6588001_S_Huawei_M5_Lite_8_LTE,Pui Wai jess kwok, 2019-08-16 ,4,好正
14,H5023001_S_80U1002HHH_256,Ricky Lee, 2019-06-25 ,5,good
15,H6588001_S_Huawei_M5Pro_Gold,Wai Hong CHAN, 2019-07-31 ,5,唔錯！
16,H6588001_S_Huawei_M5Pro_Gold,chun man fan, 2019-03-19 ,5,Very good
17,H5912001_S_T0044_bk,King Yeung, 2019-04-11 ,5,好
18,H5912001_S_T0044_bk,JOSEPH LEUNG, 2019-04-11 ,1,我不知道那個sim卡的插曹是如何開的，因為我已經整支插針插入去，都是沒有反應囉？
19,H5912001_S_T0044_bk,wp LEUNG, 2019-03-22 ,4,"送錯顏色，送左金色，但準時送到,nice"
20,H5912001_S_T0044_bk,Ken Lau, 2019-03-21 ,3,本人訂購的是黑色平板4，但送來的是金色平板，詢問後HKTVmall 員工回覆原因是缺貨。如是缺貨，HKTVmall  應先通知客戶。本人已要求更換黑色平板，希望能盡快更進。
21,H0710001_S_STM-222-200JW-01,kin Wah yip, 2019-10-01 ,1,鏡頭與個孔位置配不上，要求退貨。
22,H5683002_S_P2224,Esme Fung, 2019-04-26 ,5,好
23,H6391001_S_Noris,Denis Chan, 2019-08-09 ,5,一開即用，非常好，謝謝
24,H6672002_S_Round-Disc-Stylus-Black,Giselle Ip, 2019-04-16 ,5,好用，好流暢
