,Unnamed: 0,product_index,product_type,product_brand,product_name,product_price,average_rate,no_of_rates,seller,website
0,0,S1116001_S_7521,laptop,BlueBeach,家庭 辦公室 旅行 可折疊 便攜式 筆記本 手提電腦 平板電腦 底座 支架,115.0,4.9,7,Bluebeach-Trading-Company-Ltd,https://www.hktvmall.com/hktv/zh/main/Bluebeach-Trading-Company-Ltd/s/S1116001/電子電器/電子電器/手機及平板電腦/手機周邊配件/三腳架及穩定器/家庭-辦公室-旅行-可折疊-便攜式-筆記本-手提電腦-平板電腦-底座-支架/p/S1116001_S_7521
1,1,H6603001_S_Aspire_SF114_32_P69T_NX_GZPCF_003,laptop,ACER,"SF114 14"" FHD N5000 4G 128G SHARE Win10 S mode (粉紅色)",2999.0,5.0,2,新域達有限公司,https://www.hktvmall.com/hktv/zh/main/新域達有限公司/s/H6603001/電子電器/電子電器/電腦及週邊設備/手提電腦/SF114-14-FHD-N5000-4G-128G-SHARE-Win10-S-mode-粉紅色/p/H6603001_S_Aspire_SF114_32_P69T_NX_GZPCF_003
2,2,H0762001_S_Acer-SF314-56-52YM-007160309,laptop,ACER,"Swift 3 筆記型電腦 (14"", i5-8265U, 8GB RAM, 128GB SSD, 1TB HDD, Win 10) SF314-56-52YM",5098.0,5.0,2,Mob-hk,https://www.hktvmall.com/hktv/zh/main/Mob-hk/s/H0762001/電子電器/電子電器/電腦及週邊設備/手提電腦/Swift-3-筆記型電腦-14-i58265U-8GB-RAM-128GB-SSD-1TB-HDD-Win-10-SF3145652YM/p/H0762001_S_Acer-SF314-56-52YM-007160309
3,3,H0762001_S_NP530XBB-K02HK-800160053,laptop,三星,"NOTEBOOK FLASH 13.3"" Pentium N5000 筆記簿型電腦 NP530XBB-K02HK",3798.0,5.0,1,Mob-hk,https://www.hktvmall.com/hktv/zh/main/Mob-hk/s/H0762001/電子電器/電子電器/電腦及週邊設備/手提電腦/NOTEBOOK-FLASH-133-Pentium-N5000-筆記簿型電腦-NP530XBBK02HK/p/H0762001_S_NP530XBB-K02HK-800160053
4,4,H5023001_S_81A5002NHH,laptop,聯想,IdeaPad 120s-14IAP 經濟4核心配備SSD硬盤手提電腦 (81A5002NHH) - 高質陳列品,2699.0,0.0,0,OB-House,https://www.hktvmall.com/hktv/zh/main/OB-House/s/H5023001/電子電器/電子電器/電腦及週邊設備/手提電腦/IdeaPad-120s14IAP-經濟4核心配備SSD硬盤手提電腦-81A5002NHH-高質陳列品/p/H5023001_S_81A5002NHH
5,5,H0762001_S_Acer-SF515-51T-570G-007160305,laptop,ACER,"Swift 5 筆記型電腦 (15.6"", i5-8265U, 8GB RAM, 256GB SSD, Win 10) SF515-51T-570G",7498.0,0.0,0,Mob-hk,https://www.hktvmall.com/hktv/zh/main/Mob-hk/s/H0762001/電子電器/電子電器/電腦及週邊設備/手提電腦/Swift-5-筆記型電腦-156-i58265U-8GB-RAM-256GB-SSD-Win-10-SF51551T570G/p/H0762001_S_Acer-SF515-51T-570G-007160305
6,6,H5023001_S_80NV006XHH,laptop,聯想,Y700-15ISK Core i7 15.6寸電競手提電腦 (80NV006XHH_128) - 高質陳列品,5499.0,5.0,2,OB-House,https://www.hktvmall.com/hktv/zh/main/OB-House/s/H5023001/電子電器/電子電器/電腦及週邊設備/手提電腦/Y70015ISK-Core-i7-156寸電競手提電腦-80NV006XHH128-高質陳列品/p/H5023001_S_80NV006XHH
7,7,H5023001_S_20GJS00N00,laptop,聯想,ThinkPad 13 i5 輕便商務手提電腦 (20GJS00N00) - 高質陳列品,4999.0,0.0,0,OB-House,https://www.hktvmall.com/hktv/zh/main/OB-House/s/H5023001/電子電器/電子電器/電腦及週邊設備/手提電腦/ThinkPad-13-i5-輕便商務手提電腦-20GJS00N00-高質陳列品/p/H5023001_S_20GJS00N00
8,8,H0762001_S_NP530XBB-K01HK-WH,laptop,三星,"NOTEBOOK FLASH 13.3"" Pentium N5000 筆記簿型電腦 NP530XBB-K01HK",3798.0,0.0,0,Mob-hk,https://www.hktvmall.com/hktv/zh/main/Mob-hk/s/H0762001/電子電器/電子電器/電腦及週邊設備/手提電腦/NOTEBOOK-FLASH-133-Pentium-N5000-筆記簿型電腦-NP530XBBK01HK/p/H0762001_S_NP530XBB-K01HK-WH
9,9,G5031001_S_MRE82ZP,laptop,APPLE,"13-inch MacBook Air, 1.6ghz i5, 128GB (2018), 太空灰 #HK VER.",7380.0,0.0,0,Metro-com,https://www.hktvmall.com/hktv/zh/main/Metro-com/s/G5031001/電子電器/電子電器/電腦及週邊設備/手提電腦/13inch-MacBook-Air 16ghz-i5-128GB-2018-太空灰-HK-VER/p/G5031001_S_MRE82ZP
10,10,H5023001_S_20FB0031HH,laptop,聯想,ThinkPad X1 Carbon G4 纖薄高速 14 吋商用 ULTRABOOK (20FB0031HH) - 高質陳列品,6699.0,5.0,1,OB-House,https://www.hktvmall.com/hktv/zh/main/OB-House/s/H5023001/電子電器/電子電器/電腦及週邊設備/手提電腦/ThinkPad-X1-Carbon-G4-纖薄高速-14-吋商用-ULTRABOOK-20FB0031HH-高質陳列品/p/H5023001_S_20FB0031HH
11,11,H0800001_S_E558K503B,laptop,Fujitsu,"E558K503B 日本制造15.6""全高清 手提電腦 i5-8250U 8GB 256GB SSD WIN10 Home",6500.0,3.0,1,Mobile-Computer-Land-Limited,https://www.hktvmall.com/hktv/zh/main/Mobile-Computer-Land-Limited/s/H0800001/電子電器/電子電器/電腦及週邊設備/手提電腦/E558K503B-日本制造156全高清-手提電腦-i58250U-8GB-256GB-SSD-WIN10-Home/p/H0800001_S_E558K503B
