,product_index,product_type,product_brand,product_name,product_price,average_rate,no_of_rates,seller,website
0,H7007001_S_SAMG9750H01GN01,smartphone,三星,香港行貨(棱鏡綠)GALAXY S10+ G9750 8GB RAM 128GB ROM,5898.0,0.0,0,煒信電信電子科技公司,https://www.hktvmall.com/hktv/zh/main/煒信電信電子科技公司/s/H7007001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/香港行貨棱鏡綠GALAXY-S10-G9750-8GB-RAM-128GB-ROM/p/H7007001_S_SAMG9750H01GN01
1,S1076001_S_PAEY0019HK,smartphone,聯想,LENOVO Z5S(L78071)智能手機,2199.0,0.0,0,Vertex-恆進,https://www.hktvmall.com/hktv/zh/main/Vertex-恆進/s/S1076001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/LENOVO-Z5SL78071智能手機/p/S1076001_S_PAEY0019HK
2,H7019001_S_RE1_Black,smartphone,KONKA,4G-LTE 智能手機 - RE1 (黑色),899.0,0.0,0,凱訊數碼有限公司,https://www.hktvmall.com/hktv/zh/main/凱訊數碼有限公司/s/H7019001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/4GLTE-智能手機-RE1-黑色/p/H7019001_S_RE1_Black
3,H7007001_S_SAMA70508H01BK01,smartphone,三星,香港行貨(黑色)GALAXY A70 A7050 8GB RAM 128GB ROM,3128.0,0.0,0,煒信電信電子科技公司,https://www.hktvmall.com/hktv/zh/main/煒信電信電子科技公司/s/H7007001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/香港行貨黑色GALAXY-A70-A7050-8GB-RAM-128GB-ROM/p/H7007001_S_SAMA70508H01BK01
4,H5912001_S_LN0005,smartphone,聯想,Z5 Pro GT 6+128GB-黑（平行進口）,3399.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Z5-Pro-GT-6128GB黑平行進口/p/H5912001_S_LN0005
5,H5912001_S_LN0009-bk,smartphone,聯想,K5 Play 3+32GB-黑（香港行貨）,994.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/K5-Play-332GB黑香港行貨/p/H5912001_S_LN0009-bk
6,H5912001_S_HU0016-be,smartphone,Huawei,Honor Note 10 6 + 128GB-藍（平行進口）,2780.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Honor-Note-10-6-128GB藍平行進口/p/H5912001_S_HU0016-be
7,H5087001_S_hoda4870,smartphone,HODA,iPhone 11 Pro Max 6.5 inch 柔石微重 軍規防摔 保護殼 (綠),178.0,0.0,0,月の光,https://www.hktvmall.com/hktv/zh/main/月の光/s/H5087001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-11-Pro-Max-65-inch-柔石微重-軍規防摔-保護殼-綠/p/H5087001_S_hoda4870
8,H6588001_S_Redmi_K20Pro_8_128_Red_cn,smartphone,小米,紅米 K20 Pro 8GB+128GB 紅色 平行進口 中國版,3049.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/紅米-K20-Pro-8GB128GB-紅色-平行進口-中國版/p/H6588001_S_Redmi_K20Pro_8_128_Red_cn
9,H6588001_S_Oppo_Reno_10X_8GB_Green,smartphone,OPPO,Reno 10X 8GB+256GB 霧海綠色 平行進口 中國版,4599.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Reno-10X-8GB256GB-霧海綠色-平行進口-中國版/p/H6588001_S_Oppo_Reno_10X_8GB_Green
10,H6588001_S_Oppo_Reno_6_256_Pink,smartphone,OPPO,Reno 6GB+256GB 薄霧粉色 平行進口 中國版,2899.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Reno-6GB256GB-薄霧粉色-平行進口-中國版/p/H6588001_S_Oppo_Reno_6_256_Pink
